number of subscribers
date, pypy-dev, pypy-svn
2005/09/05, 219, 38
2005/09/06, 221, 38
2005/09/07, 221, 38
2005/09/08, 221, 38
2005/09/09, 221, 38
2005/09/11, 221, 38
2005/09/12, 221, 38
2005/09/13, 222, 38
2005/09/15, 222, 38
2005/09/16, 222, 38
2005/09/17, 222, 38
2005/09/19, 222, 39
2005/09/20, 221, 39
2005/09/21, 222, 39
2005/09/22, 223, 39
2005/09/23, 225, 39
2005/09/24, 225, 39
2005/09/25, 228, 39
2005/09/26, 229, 39
2005/09/27, 229, 39
2005/09/28, 229, 39
2005/09/29, 230, 39
2005/09/30, 231, 39
2005/10/01, 231, 39
2005/10/02, 231, 39
2005/10/03, 231, 40
2005/10/04, 232, 40
2005/10/05, 232, 40
2005/10/06, 233, 40
2005/10/07, 234, 41
2005/10/08, 235, 41
2005/10/09, 235, 41
2005/10/11, 235, 42
2005/10/12, 237, 43
2005/10/13, 237, 43
2005/10/14, 237, 43
2005/10/16, 238, 43
2005/10/17, 240, 43
2005/10/18, 240, 43
2005/10/19, 241, 43
2005/10/20, 241, 44
2005/10/21, 244, 44
2005/10/22, 244, 44
2005/10/23, 244, 44
2005/10/24, 244, 44
2005/10/25, 244, 44
2005/10/26, 245, 45
2005/10/27, 245, 45
2005/10/28, 246, 45
2005/10/29, 246, 45
2005/10/30, 246, 45
2005/11/01, 246, 45
2005/11/02, 247, 45
2005/11/03, 247, 45
2005/11/04, 248, 45
2005/11/05, 250, 45
2005/11/06, 250, 45
2005/11/07, 251, 45
2005/11/08, 252, 45
2005/11/09, 254, 46
2005/11/10, 255, 46
2005/11/11, 255, 46
2005/11/12, 256, 46
2005/11/13, 257, 46
2005/11/14, 255, 46
2005/11/15, 256, 46
2005/11/16, 256, 46
2005/11/17, 256, 46
2005/11/18, 256, 47
2005/11/19, 256, 47
2005/11/21, 256, 47
2005/11/22, 256, 47
2005/11/23, 256, 47
2005/11/24, 256, 47
